Nom;Prenom;Sexe;Date_Naissance;Lieu_Naissance;Classe;Tuteur_Nom;Tuteur_Prenom;Tuteur_Tel
AKAKPO;Salimata;F;27/02/2009;Cotonou;3ème;AKAKPO;Pierre;+ 225 93768844
AMOUZOU;Minata;F;24/03/2009;Dakar;3ème;AMOUZOU;George;+ 221 94348512
ATTIOGBE;Souleymane;M;09/11/2008;Ziguinchor;3ème;ATTIOGBE;Paul;+ 221 94013879
BEAVOGUI;Pape;M;13/08/2009;Cotonou;3ème;BEAVOGUI;Franck;+ 229 90093026
DOSSEH;Mariam;F;15/08/2009;Koudougou;3ème;DOSSEH;Seydou;+ 229 98576076
FALL;Babacar;M;06/12/2009;Ouahigouya;3ème;FALL;Lamine;+228 94761145
KANE;Tenin;F;17/11/2009;Bamako;3ème;KANE;Modibo;+ 223 95323376
KOUASSI;Aliou;M;26/07/2008;Ségou;3ème;KOUASSI;Amadou;+ 223 95406444
LAWSON;Oumou;F;08/07/2008;Badou;3ème;LAWSON;Dodji;+ 223 97793853
N'DIAYE;Samba;M;27/10/2009;Labé;3ème;N'DIAYE;Oumar;+ 223 97159521
SANGARE;Malick;M;08/09/2008;Dapaong;3ème;SANGARE;Boèvi;+ 221 92237058
SYLLA;Rokia;F;14/08/2008;Ouagadougou;3ème;SYLLA;Emmanuel;+ 223 93262081
TOURE;Cheikh;M;01/03/2008;Kara;3ème;TOURE;Joseph;+ 229 97971465
TRAORE;Aminata;F;13/02/2008;Bassar;3ème;TRAORE;Seydou;+ 225 95770619
TRAORE;Khady;F;18/07/2009;Lomé;3ème;TRAORE;Ousmane;+ 225 94813613
BALDE;Komlan;M;16/12/2009;Parakou;4ème B;BALDE;Yao;+ 223 98801946
CAMARA;Kwame;M;18/08/2010;Ziguinchor;4ème B;CAMARA;Yao;+ 225 97138769
CISSE;Komi;M;10/03/2010;Lomé;4ème B;CISSE;Edem;+ 223 92123709
CONTE;Akoua;F;18/12/2009;Conakry;4ème B;CONTE;Kodjo;+ 229 93213524
COULIBALY;Victorine;F;26/06/2009;Porto-Novo;4ème B;COULIBALY;Djo;+ 225 94691890
DOSSEH;Afi;F;03/12/2009;Kara;4ème B;DOSSEH;Koku;+ 229 94855124
FOFANA;Ama;F;27/02/2010;Blitta;4ème B;FOFANA;Komi;+ 225 93816534
GNONTO;Fassou;M;28/08/2009;Abidjan;4ème B;GNONTO;Paul;+ 229 98179730
KABORE;Rosalie;F;14/12/2009;Thiès;4ème B;KABORE;Komlan;+ 223 94031966
KOUMA;Angèle;F;19/08/2009;Kayes;4ème B;KOUMA;George;+ 221 95643798
KOUYATE;Akosua;F;23/06/2010;Cape Coast;4ème B;KOUYATE;Boeви;+ 225 95144280
OUEDRAOGO;Rodrigue;M;01/09/2010;Ziguinchor;4ème B;OUEDRAOGO;Babacar;+ 229 91436347
SOME;Clarisse;F;08/05/2009;Accra;4ème B;SOME;Koku;+ 229 95137284
SOUMAH;Kodjo;M;04/04/2010;Labé;4ème B;SOUMAH;Kofi;+ 229 95294016
ZONGO;Kofi;M;23/11/2010;Thiès;4ème B;ZONGO;Ali;+ 221 90289293
ABLAM;Eyram;M;08/02/2010;Koudougou;5ème A;ABLAM;Babacar;+ 223 99850288
ADJOVI;Koku;M;17/08/2010;Bobo-Dioulasso;5ème A;ADJOVI;Ali;+ 221 94666692
AKAKPO;Kossi;M;27/11/2011;San-Pédro;5ème A;AKAKPO;Komlan;+ 229 96210606
BAMBA;Dzifa;F;18/02/2011;Tchamba;5ème A;BAMBA;Modibo;+ 229 94456573
DIALLO;Yawa;F;14/10/2010;Ouagadougou;5ème A;DIALLO;Koku;+ 221 91530793
DOSSEH;Essi;F;04/06/2011;Accra;5ème A;DOSSEH;Kodjo;+ 223 90019311
FALL;Senyo;M;02/07/2011;Blitta;5ème A;FALL;Yao;+ 223 96069650
KOFFI;Akpene;F;27/11/2010;Parakou;5ème A;KOFFI;Komlan;+ 223 90674975
KONE;Dela;F;04/08/2011;Cape Coast;5ème A;KONE;George;+ 225 96752972
KOUASSI;Kweku;M;02/09/2011;Cape Coast;5ème A;KOUASSI;Kofi;+228 95276722
LAILA;Eyram;F;24/07/2010;Abidjan;5ème A;LAILA;Djo;+ 223 94200476
MENSAH;Kwasi;M;14/06/2011;Bouaké;5ème A;MENSAH;Yao;+ 225 91754894
OUATTARA;Agbeko;M;02/02/2010;Notsé;5ème A;OUATTARA;Oumar;+ 225 99983182
TRAORE;Kafui;F;14/06/2010;Conakry;5ème A;TRAORE;Boeви;+ 221 94835492
YEBOAH;Selom;M;18/09/2011;Thiès;5ème A;YEBOAH;Paul;+ 221 91349590
BALDE;Alioune;M;28/04/2011;San-Pédro;5ème B;BALDE;Paul;+228 96162857
CAMARA;Hamidou;M;08/02/2010;Mbour;5ème B;CAMARA;Boèvi;+ 229 96520395
CISSE;Karim;M;22/02/2011;Sotouboua;5ème B;CISSE;Babacar;+ 223 90358318
CONTE;Minata;F;23/01/2011;San-Pédro;5ème B;CONTE;George;+ 229 97438733
DEMBELE;Youssouf;M;07/09/2010;Ségou;5ème B;DEMBELE;Ali;+ 229 93909069
FOFANA;Bintou;F;13/01/2011;Parakou;5ème B;FOFANA;Djo;+ 229 92049499
KABORE;Rokia;F;29/10/2010;Bamako;5ème B;KABORE;Emmanuel;+ 225 93713925
KEITA;Dramane;M;18/03/2010;Porto-Novo;5ème B;KEITA;Yao;+ 229 91844258
KOITA;Djénéba;F;08/06/2010;Aného;5ème B;KOITA;Komlan;+ 223 93442778
KOUYATE;Tenin;F;22/06/2011;Nzérékoré;5ème B;KOUYATE;Modibo;+ 223 97031780
LAWSON;Laté;M;09/07/2011;Tsévié;5ème B;LAWSON;Boèvi;+ 229 99515702
SOME;Oumou;F;02/03/2010;Kara;5ème B;SOME;Dodji;+ 225 98264869
SOUMAH;Ismaila;M;21/07/2010;Bassar;5ème B;SOUMAH;Oumar;+ 221 96847048
TOUNKARA;Kadidiatou;F;26/03/2011;Mopti;5ème B;TOUNKARA;Koku;+228 94651899
ZONGO;Oumar;M;27/11/2010;Cape Coast;5ème B;ZONGO;Franck;+ 225 96850067
ABLAM;Amadou;M;14/12/2011;Lomé;6ème A;ABLAM;Edem;+ 223 99033725
ADJOVI;Adama;M;29/12/2011;Natitingou;6ème A;ADJOVI;Kwame;+ 223 95188935
BAMBA;Maimouna;F;28/05/2012;Tsévié;6ème A;BAMBA;Boeви;+ 225 95891254
DIALLO;Coumba;F;13/06/2012;Conakry;6ème A;DIALLO;Mamadou;+ 225 99301497
DIOP;Fanta;F;01/07/2011;Badou;6ème A;DIOP;Komlan;+ 225 96907400
GUEYE;Ibrahima;M;06/05/2011;Conakry;6ème A;GUEYE;Ali;+228 96417985
KOFFI;Ndéye;F;14/06/2011;Tsévié;6ème A;KOFFI;Mawuli;+ 225 95266630
KONAN;Seydou;M;08/04/2012;Sokodé;6ème A;KONAN;Yao;+ 229 96685149
KONE;Rokhaya;F;06/05/2011;Ségou;6ème A;KONE;Kodjo;+ 225 90641849
LAILA;Fatou;F;29/07/2011;Sikasso;6ème A;LAILA;Komi;+ 229 94273534
MENSAH;Jean;M;09/06/2012;Vogan;6ème A;MENSAH;Pierre;+ 229 95647119
MENSAH;Lamine;M;14/04/2011;Ouahigouya;6ème A;MENSAH;Ibrahim;+ 221 92919694
OUATTARA;Modibo;M;27/11/2012;Mbour;6ème A;OUATTARA;Kofi;+ 225 90463060
THIAM;Aminata;F;08/08/2011;Blitta;6ème A;THIAM;Koku;+ 221 95866294
YEBOAH;Boubacar;M;14/10/2011;Daloa;6ème A;YEBOAH;Yao;+ 225 97321474
BA;Marie;F;02/10/2015;Labé;CE1 A;BA;Komi;+ 223 95060517
BAGAYOKO;Julie;F;04/09/2016;Nzérékoré;CE1 A;BAGAYOKO;Kodjo;+228 97990081
BAMBA;Afi;F;26/02/2016;Conakry;CE1 A;BAMBA;Ousmane;+228 99249870
DIARRA;Yacouba;M;06/01/2016;Porto-Novo;CE1 A;DIARRA;Kofi;+228 92126655
DIOP;Akouvi;F;04/11/2016;Thiès;CE1 A;DIOP;Mawuli;+ 221 91232969
GUEYE;Pierre;M;20/06/2015;Vogan;CE1 A;GUEYE;Kwame;+228 92117143
KONAN;Joseph;M;17/10/2016;Abomey;CE1 A;KONAN;Ibrahim;+ 221 98481739
KONE;Awa;F;14/07/2016;Labé;CE1 A;KONE;Seydou;+228 95243691
LY;Jean;M;01/11/2016;Atakpamé;CE1 A;LY;Edem;+ 221 96738019
OUATTARA;Emmanuel;M;15/07/2015;Tchamba;CE1 A;OUATTARA;Amadou;+ 221 95686328
SANGARE;Oumou;F;21/04/2016;Thiès;CE1 A;SANGARE;Modibo;+ 221 97698256
SISSOKO;Aissatou;F;01/03/2015;Daloa;CE1 A;SISSOKO;Boeви;+ 229 99879312
SOW;Soumana;M;17/06/2016;Ségou;CE1 A;SOW;Yao;+228 97583392
THIAM;Aya;F;21/10/2016;Ségou;CE1 A;THIAM;Mamadou;+ 223 95455706
YEBOAH;Felix;M;22/06/2016;Porto-Novo;CE1 A;YEBOAH;Lamine;+ 225 92560856
